	source	target	embedding_similarity	pair_distance	language_distance	shared_incoming_cnt	shared_outgoing_cnt	source_incoming_cnt	target_incoming_cnt	source_outgoing_cnt	target_outgoing_cnt	milne_witten	begin_time_distance	interval_overlap	relevance_score
0	(1)_Ceres	Dawn_(Raumsonde)	0.8466126918792725	-1.0	86.13750774183329	15	10	138	34	55	36	0.8042584520949538	75509.0	-5007.0	1.6701595100491
1	(1)_Ceres	Hubble-Weltraumteleskop	0.7888244986534119	-1.0	86.13201540257367	13	8	138	547	55	125	0.6236611879971711	80094.0	0.0	1.7668285005309188
2	(101955)_Bennu	OSIRIS-REx	0.9698959589004515	-1.0	86.11785193237614	9	4	12	18	9	15	0.9440056199598976	6207.0	-1738.0	1.1198933286925694
3	(136199)_Eris	Hubble-Weltraumteleskop	0.787834882736206	-1.0	86.13201540257367	12	8	58	547	60	125	0.6464478377603439	5584.0	0.0	1.085022271929283
4	(136199)_Eris	New_Horizons	0.88787841796875	-1.0	86.11785193237614	5	17	58	82	60	81	0.741072404806471	383.0	-5623.0	1.117165979046303
5	(136472)_Makemake	Hubble-Weltraumteleskop	0.8304080367088318	-1.0	86.13201540257367	8	3	27	547	21	125	0.6347658140937347	5495.0	0.0	0.6763418499184228
6	(136472)_Makemake	Spitzer-Weltraumteleskop	0.9089850783348083	-1.0	86.13750774183329	4	2	27	150	21	40	0.6866909029003998	584.0	-5917.0	0.1587446603499105
7	(16)_Psyche	Discovery-Programm	0.9169211387634276	-1.0		1	3	8	26	10	44	0.7451493271213301			3.3334420498578603
8	(162173)_Ryugu	Hayabusa_2	0.9275057911872864	-1.0	115.16302870726004	9	2	12	20	10	21	0.9354943009782644	6979.0	0.0	0.2043992415523347
9	(243)_Ida	Galileo_(Raumsonde)	0.8761892318725586	-1.0	86.13201540257367	9	2	24	105	6	45	0.7897660503569897	40611.0	-9318.0	5.161924741642482
10	(25143)_Itokawa	Hayabusa_(Raumsonde)	0.931903600692749	-1.0	115.14195837172556	12	11	17	31	20	38	0.9211108832329816	1686.0	-2592.0	0.0144011779300708
11	(29075)_1950_DA	Chicxulub-Krater	0.7717487215995789	-1.0	96.72796291928977	0	4	9	40	12	49	0.0	11271.0	-14772.0	9.886654162688211
12	(29075)_1950_DA	Chicxulub-Krater	0.7717487215995789	-1.0	96.72796291928977	0	4	9	40	12	49	0.0	14923.0	-11120.0	9.886654162688211
13	(4)_Vesta	Dawn_(Raumsonde)	0.8489924669265747	-1.0	86.13750774183329	10	10	154	34	46	36	0.758819174230446	73231.0	-5007.0	0.5414501351062437
14	(433)_Eros	NEAR_Shoemaker	0.9004052877426147	-1.0	86.13750774183329	10	2	44	23	25	27	0.8736725106043852	35616.0	-9247.0	2.365318392930211
15	(486958)_Arrokoth	Hubble-Weltraumteleskop	0.8108557462692261	-1.0	86.13201540257367	1	2	12	547	11	125	0.4907088824901379	2121.0	0.0	0.9479256248681752
16	(486958)_Arrokoth	New_Horizons	0.9091024398803712	-1.0	86.11785193237614	8	5	12	82	11	81	0.8119959570490074	3080.0	-2543.0	0.9893523163638024
17	(65803)_Didymos	Asteroid_Impact_&_Deflection_Assessment	0.9537103176116944	-1.0		4	1	8	6	4	18	0.9469747367045874			6.8713239500981445
18	(90377)_Sedna	Herschel-Weltraumteleskop	0.886483907699585	-1.0	71.60245248068189	6	2	41	87	31	21	0.7601704521248545	2008.0	-4412.0	5.257234921446806
19	(90377)_Sedna	Spitzer-Weltraumteleskop	0.9113059639930724	-1.0	86.13750774183329	6	2	41	150	31	40	0.7113168955996787	81.0	-6420.0	1.086320448141631
20	(99942)_Apophis	AN602	0.6788390874862671	-1.0	45.345563185505526	0	1	19	34	25	17	0.0	15573.0	15573.0	2.3795543712699607
21	(99942)_Apophis	Erdbeben_im_Indischen_Ozean_2004	0.4680027663707733	-1.0	90.56040368993511	0	4	19	502	25	102	0.0	190.0	0.0	7.959206076472634
22	(99942)_Apophis	Herschel-Weltraumteleskop	0.8792780637741089	-1.0	71.60245248068189	0	0	19	87	25	21	0.0	1790.0	-4412.0	2.1029716359928528
23	(99942)_Apophis	Impakt	0.870952844619751	-1.0		6	2	19	394	25	44	0.6489241791851748	19893.0	19529.0	0.1924408536112057
24	(I_Never_Promised_You_A)_Rose_Garden	Country-Musik	0.6360170245170593	-1.0	88.30992000707404	3	1	11	2697	6	68	0.4544081927965485	18536.0	-18517.0	5.631928370888217
25	(I’m_Gonna)_Love_Me_Again	Oscarverleihung_2020	0.7645519375801086	-1.0	122.06984887739824	1	0	4	60	8	17	0.6962085116868958	404.0	0.0	1.1729188038078604
26	(I’ve_Had)_The_Time_of_My_Life	Oscarverleihung_1988	0.8278602361679077	-1.0	122.02278931305942	3	2	20	76	19	68	0.7276618786897819	223.0	0.0	5.161924741642482
27	(n_–_1)-Regel	Münsterländer_Schneechaos	0.7084624171257019	-1.0	0.6550762878019503	1	0	17	21	4	25	0.7469343514618598			7.216048475338027
28	-gate	Abgasskandal	0.5520126223564148	-1.0	0.0	0	1	5	131	26	142	0.0			7.55068753087758
29	-gate	Champagnergate	0.8907248377799988	-1.0		0	0	5	2	26	4	0.0			8.029823643686587
30	-gate	Ibiza-Affäre	0.5938451886177063	-1.0	0.0	0	1	5	98	26	112	0.0			6.936877092554155
31	-gate	Ponygate-Skandal	0.944384217262268	-1.0		0	1	5	4	26	16	0.0			7.064032268039402
32	-gate	Schachweltmeisterschaft_2006	0.631248950958252	-1.0	27.153288064828864	0	0	5	28	26	18	0.0			8.111613076695066
33	-gate	Schachweltmeisterschaft_2018	0.7829926609992981	-1.0	2.6961421531173864	0	0	5	13	26	53	0.0			7.228787501115457
34	-gate	Squidgygate	0.9280482530593872	-1.0		0	1	5	2	26	7	0.0			5.257234921446806
35	-gate	Strippergate_(Israel)	0.8367481231689453	-1.0		0	0	5	1	26	2	0.0			8.476110746315008
36	-gate	Watergate-Affäre	0.6560810804367065	-1.0	101.74646981716916	1	4	5	622	26	101	0.5146540339630699			1.9636663933212848
37	-ismus	Abolitionismus_(Kriminologie)	0.4391743242740631	-1.0		0	0	68	17	50	4	0.0			5.161924741642482
38	-ismus	Feminismus	0.6524859666824341	-1.0	106.57206759887048	6	8	68	1823	50	155	0.4629524062146931			0.368855836721263
39	-philie	Amelotatismus	0.8264590501785278	-1.0		0	1	21	8	38	9	0.0			10.241464014385947
40	-philie	Ephebophilie	0.7574495673179626	-1.0		3	5	21	23	38	15	0.8276640978781513			7.494068636878072
41	-philie	Pädophilie	0.5920059084892273	-1.0		8	6	21	404	38	68	0.6681708429144226			9.093750374366808
42	-philie	Xenophilie	0.6846369504928589	-1.0		0	0	21	6	38	4	0.0			8.17392649491489
43	-zid	Femizid	0.5635974407196045	-1.0	70.48390643647681	0	0	1	21	20	36	0.0			1.0167064693509889
44	.22_lfB	Biathlon	0.5188094973564148	-1.0		1	1	113	3021	6	144	0.2094479699745081			0.8303249184326206
45	.22_lfB	Freie_Pistole	0.809293270111084	-1.0		3	1	113	98	6	10	0.6469653940625718			9.692371381434636
46	.30-06_Springfield	Zweiter_Weltkrieg	0.5107815265655518	-1.0	27.380441875335123	17	0	54	103548	11	953	0.1986443230053904	12296.0	-2193.0	1.775828416121408
47	.45_Colt	Philippinisch-Amerikanischer_Krieg	0.5947322845458984	-1.0		2	0	26	167	4	43	0.6187344136963568			7.604271777011686
48	.aq	Antarktis-Vertrag	0.7766780853271484	-1.0		2	2	3	172	5	105	0.6764043632175287	8248.0	-30.0	1.2421483548495824
49	.htaccess	HTTP-Authentifizierung	0.9809162020683287	-1.0		1	2	14	9	4	12	0.7916514924148186			5.161924741642482
50	/e/	GSMA_Mobile_World_Congress	0.6663128137588501	-1.0	6.106394733837571	0	0	3	80	15	21	0.0	11566.0	-1015.0	5.631928370888217
51	0-Euro-Schein	Kieler_Matrosenaufstand	0.4516308903694153	-1.0		0	2	5	189	71	78	0.0			6.4702575612926605
52	032c	Rot	0.5377406477928162	-1.0		0	0	9	386	2	173	0.0			6.970213512821747
53	08/15_(Redewendung)	Erster_Weltkrieg	0.6013115644454956	-1.0	1.5911674236195303	8	2	23	61277	7	940	0.2374230449212654			7.51329999880596
54	0er	Varusschlacht	0.6497529745101929	-1.0	0.0	0	14	0	376	24	175	0.0	0.0	0.0	0.1212993369836843
55	1,2,5,6,9,10-Hexabromcyclododecan	Stockholmer_Übereinkommen	0.8347874283790588	-1.0	6.479697006628668	3	0	18	68	8	17	0.7393477203656107			7.671524004020854
56	1,2-Dichlorethan	ATEX	0.7667256593704224	-1.0		2	1	58	134	10	9	0.6107967636608891			6.666002138418756
57	1,3-Dioxolan	Verordnung_(EG)_Nr._1907/2006_(REACH)	0.7222352027893066	-1.0		0	1	4	309	6	20	0.0			5.161924741642482
58	1,5-Grad-Ziel	Übereinkommen_von_Paris	0.8188658356666565	-1.0	139.56003512637852	19	9	30	195	20	101	0.7968554529845926			9.478078632165657
59	1-Billion-Mark-Stück_(Provinz_Westfalen)	Ruhrbesetzung	0.6055997610092163	-1.0	0.0	2	8	17	590	25	41	0.5272893742084821			5.161924741642482
60	1.-August-Weggen	Bundesfeiertag	0.8091316223144531	-1.0	0.0	0	1	1	95	3	32	0.0			5.994833864577585
61	1._Amateurliga_Bayern_1950/51	1._Amateurliga_Bayern_1951/52	0.8744670152664185	0.0	0.0	1	5	2	2	9	9	0.9510856482093056			7.638463141759965
62	1._Amateurliga_Bayern_1950/51	II._Division_1950/51	0.7297185659408569	0.0	0.0	0	5	2	27	9	25	0.0			6.4702575612926605
63	1._Amateurliga_Bayern_1950/51	Landesliga_Bayern_1949/50	0.9082632064819336	0.0	0.0	0	2	2	1	9	10	0.0			6.41468771013785
64	1._Amateurliga_Bayern_1951/52	1._Amateurliga_Bayern_1950/51	0.8744670152664185	0.0	0.0	1	5	2	2	9	9	0.9510856482093056			5.257234921446806
65	1._Amateurliga_Bayern_1951/52	1._Amateurliga_Bayern_1952/53	0.9562841653823853	-1.0		0	6	2	3	9	10	0.0			7.621513583446192
66	1._Amateurliga_Bayern_1952/53	1._Amateurliga_Bayern_1953/54	0.9544738531112672	-1.0		0	6	3	2	10	10	0.0			7.595538097042931
67	1._Amateurliga_Bayern_1953/54	1._Amateurliga_Bayern_1954/55	0.9234894514083862	-1.0		0	5	2	0	10	10	0.0			7.577838519943531
68	1._Amateurliga_Bayern_1954/55	1._Amateurliga_Bayern_1955/56	0.9471954703330994	-1.0		0	5	0	1	10	7	0.0			7.301990905138752
69	1._Amateurliga_Bayern_1954/55	Deutsche_Fußball-Amateurmeisterschaft_1955	0.8937561511993408	-1.0		0	1	0	14	10	6	0.0			5.424289006109973
70	1._Amateurliga_Bayern_1955/56	1._Amateurliga_Bayern_1954/55	0.9471954703330994	-1.0		0	5	1	0	7	10	0.0			5.803778627814877
71	1._Amateurliga_Bayern_1955/56	1._Amateurliga_Bayern_1956/57	0.9504973888397216	-1.0		0	5	1	1	7	8	0.0			7.033726918544073
72	1._Amateurliga_Bayern_1956/57	1._Amateurliga_Bayern_1955/56	0.9504973888397216	-1.0		0	5	1	1	8	7	0.0			5.498396978263695
73	1._Amateurliga_Bayern_1956/57	1._Amateurliga_Bayern_1957/58	0.9348709583282472	-1.0		0	6	1	1	8	9	0.0			7.301990905138752
74	1._Amateurliga_Bayern_1957/58	1._Amateurliga_Bayern_1956/57	0.9348709583282472	-1.0		0	6	1	1	9	8	0.0			5.498396978263695
75	1._Amateurliga_Bayern_1957/58	1._Amateurliga_Bayern_1958/59	0.945551872253418	-1.0		0	6	1	0	9	10	0.0			7.413216540248977
76	1._Amateurliga_Bayern_1958/59	1._Amateurliga_Bayern_1957/58	0.945551872253418	-1.0		0	6	0	1	10	9	0.0			5.424289006109973
77	1._Amateurliga_Bayern_1958/59	1._Amateurliga_Bayern_1959/60	0.9570125341415404	-1.0		0	5	0	1	10	9	0.0			7.122019525689752
78	1._Amateurliga_Bayern_1959/60	1._Amateurliga_Bayern_1960/61	0.9410207867622375	-1.0		0	5	1	3	9	9	0.0			6.866672833880907
79	1._Amateurliga_Bayern_1960/61	1._Amateurliga_Bayern_1961/62	0.9361448287963868	-1.0		0	5	3	1	9	9	0.0			6.970213512821747
80	1._Amateurliga_Bayern_1961/62	1._Amateurliga_Bayern_1962/63	0.9221315383911132	-1.0		0	6	1	0	9	10	0.0			7.078847353824543
81	1._Amateurliga_Bayern_1962/63	1._Amateurliga_Bayern_1963/64	0.9617716073989868	-1.0		0	5	0	4	10	9	0.0			7.494068636878072
82	1._Amateurliga_Bayern_1963/64	1._Amateurliga_Bayern_1962/63	0.9617716073989868	-1.0		0	5	4	0	9	10	0.0			6.41468771013785
83	1._Amateurliga_Bayern_1963/64	1._Amateurliga_Bayern_1964/65	0.9671008586883544	-1.0		0	6	4	2	9	12	0.0			8.068825801489858
84	1._Amateurliga_Bayern_1964/65	1._Amateurliga_Bayern_1963/64	0.9671008586883544	-1.0		0	6	2	4	12	9	0.0			6.22663547863491
85	1._Amateurliga_Bayern_1964/65	1._Amateurliga_Bayern_1965/66	0.9474116563796996	-1.0		0	7	2	2	12	10	0.0			7.786593333805641
86	1._Amateurliga_Bayern_1965/66	1._Amateurliga_Bayern_1964/65	0.9474116563796996	-1.0		0	7	2	2	10	12	0.0			6.385700173264597
87	1._Amateurliga_Bayern_1965/66	1._Amateurliga_Bayern_1966/67	0.9604477882385254	-1.0		0	7	2	4	10	10	0.0			6.84832369521271
88	1._Amateurliga_Bayern_1966/67	1._Amateurliga_Bayern_1965/66	0.9604477882385254	-1.0		0	7	4	2	10	10	0.0			5.161924741642482
89	1._Amateurliga_Bayern_1966/67	1._Amateurliga_Bayern_1967/68	0.9172091484069824	-1.0		0	5	4	2	10	9	0.0			7.863285954593895
90	1._Amateurliga_Bayern_1967/68	1._Amateurliga_Bayern_1966/67	0.9172091484069824	-1.0		0	5	2	4	9	10	0.0			5.3442462984364365
91	1._Amateurliga_Bayern_1967/68	1._Amateurliga_Bayern_1968/69	0.9505405426025392	-1.0		0	6	2	4	9	9	0.0			7.786593333805641
92	1._Amateurliga_Bayern_1968/69	1._Amateurliga_Bayern_1967/68	0.9505405426025392	-1.0		0	6	4	2	9	9	0.0			5.498396978263695
93	1._Amateurliga_Bayern_1968/69	1._Amateurliga_Bayern_1969/70	0.9423311948776244	-1.0		0	7	4	2	9	11	0.0			7.646831391430482
94	1._Amateurliga_Bayern_1969/70	1._Amateurliga_Bayern_1968/69	0.9423311948776244	-1.0		0	7	2	4	11	9	0.0			5.567389849750646
95	1._Amateurliga_Bayern_1969/70	1._Amateurliga_Bayern_1970/71	0.9036290645599364	-1.0		0	7	2	2	11	12	0.0			7.808099539026604
96	1._Amateurliga_Bayern_1970/71	1._Amateurliga_Bayern_1968/69	0.9233859777450562	-1.0		1	6	2	4	12	9	0.9021712964186116			5.631928370888217
97	1._Amateurliga_Bayern_1970/71	1._Amateurliga_Bayern_1969/70	0.9036290645599364	-1.0		0	7	2	2	12	11	0.0			5.631928370888217
98	1._Amateurliga_Bayern_1970/71	1._Amateurliga_Bayern_1971/72	0.9326848983764648	-1.0		0	7	2	4	12	10	0.0			7.793813581779128
99	1._Amateurliga_Bayern_1971/72	1._Amateurliga_Bayern_1970/71	0.9326848983764648	-1.0		0	7	4	2	10	12	0.0			5.631928370888217
100	1._Amateurliga_Bayern_1971/72	1._Amateurliga_Bayern_1972/73	0.9593319296836852	-1.0	0.0	0	7	4	2	10	13	0.0			7.915585453996744
101	1._Amateurliga_Bayern_1972/73	1._Amateurliga_Bayern_1971/72	0.9593319296836852	-1.0		0	7	2	4	13	10	0.0			5.855071922202427
102	1._Amateurliga_Bayern_1972/73	1._Amateurliga_Bayern_1973/74	0.9522725343704224	-1.0		0	6	2	5	13	11	0.0			7.687653385950737
103	1._Amateurliga_Bayern_1973/74	1._Amateurliga_Bayern_1972/73	0.9522725343704224	-1.0	0.0	0	6	5	2	11	13	0.0			6.355847210114916
104	1._Amateurliga_Bayern_1973/74	1._Amateurliga_Bayern_1974/75	0.9626795649528505	-1.0		0	6	5	3	11	13	0.0			7.971327437004979
105	1._Amateurliga_Bayern_1974/75	1._Amateurliga_Bayern_1973/74	0.9626795649528505	-1.0		0	6	3	5	13	11	0.0			6.791165281372762
106	1._Amateurliga_Bayern_1974/75	1._Amateurliga_Bayern_1975/76	0.9502404928207396	-1.0		1	7	3	7	13	12	0.8586351732531835			8.029823643686587
107	1._Amateurliga_Bayern_1975/76	1._Amateurliga_Bayern_1974/75	0.9502404928207396	-1.0		1	7	7	3	12	13	0.8586351732531835			6.117436186669918
108	1._Amateurliga_Bayern_1975/76	1._Amateurliga_Bayern_1976/77	0.965070366859436	-1.0		1	6	7	5	12	10	0.8531869366885134			7.771994534384488
109	1._Amateurliga_Bayern_1976/77	1._Amateurliga_Bayern_1975/76	0.965070366859436	-1.0		1	6	5	7	10	12	0.8531869366885134			6.643529282566697
110	1._Amateurliga_Bayern_1976/77	1._Amateurliga_Bayern_1977/78	0.9294689297676086	-1.0		0	6	5	1	10	11	0.0			7.902764765567682
111	1._Amateurliga_Bayern_1977/78	1._Amateurliga_Bayern_1976/77	0.9294689297676086	-1.0		0	6	1	5	11	10	0.0			6.293326853133582
112	1._Amateurliga_Bayern_1977/78	Fußball-Bayernliga_1978/79	0.9248452186584472	-1.0	0.0	0	2	1	3	11	5	0.0			8.314660764006138
113	1._Amateurliga_Hessen_1950/51	1._Amateurliga_Hessen_1951/52	0.9510033130645752	0.0	0.0	0	1	0	1	4	3	0.0			7.107834890697795
114	1._Amateurliga_Hessen_1951/52	1._Amateurliga_Hessen_1950/51	0.9510033130645752	0.0	0.0	0	1	1	0	3	4	0.0			5.161924741642482
115	1._Amateurliga_Hessen_1951/52	1._Amateurliga_Hessen_1952/53	0.9556560516357422	0.0	0.0	0	3	1	0	3	4	0.0			6.919782659194856
116	1._Amateurliga_Hessen_1952/53	1._Amateurliga_Hessen_1953/54	0.9156619310379028	0.0	0.0	0	1	0	0	4	2	0.0			6.355847210114916
117	1._Amateurliga_Hessen_1953/54	1._Amateurliga_Hessen_1954/55	0.9312444925308228	0.0	0.0	0	2	0	0	2	4	0.0			6.355847210114916
118	1._Amateurliga_Hessen_1954/55	1._Amateurliga_Hessen_1955/56	0.9430476427078248	0.0	0.0	0	1	0	0	4	2	0.0			6.597009266931805
119	1._Amateurliga_Hessen_1955/56	1._Amateurliga_Hessen_1956/57	0.918188750743866	0.0	0.0	0	1	0	1	2	3	0.0			6.293326853133582
120	1._Amateurliga_Hessen_1956/57	1._Amateurliga_Hessen_1957/58	0.9351822733879088	0.0	0.0	0	1	1	0	3	2	0.0			6.41468771013785
121	1._Amateurliga_Hessen_1957/58	1._Amateurliga_Hessen_1958/59	0.9282885193824768	0.0	0.0	0	1	0	3	2	2	0.0			5.855071922202427
122	1._Amateurliga_Hessen_1958/59	1._Amateurliga_Hessen_1959/60	0.9035687446594238	0.0	0.0	1	1	3	2	2	2	0.9224725866646668			5.903862086371859
123	1._Amateurliga_Hessen_1959/60	1._Amateurliga_Hessen_1960/61	0.9557973742485046	0.0	0.0	1	1	2	3	2	4	0.9224725866646668			5.903862086371859
124	1._Amateurliga_Hessen_1960/61	1._Amateurliga_Hessen_1961/62	0.9577454328536988	0.0	0.0	3	2	3	3	4	3	0.0			6.037393478996382
125	1._Amateurliga_Hessen_1961/62	1._Amateurliga_Hessen_1962/63	0.9301210045814514	0.0	0.0	1	1	3	4	3	2	0.8992896654170072			5.257234921446806
126	1._Amateurliga_Hessen_1962/63	1._Amateurliga_Hessen_1961/62	0.9301210045814514	0.0	0.0	1	1	4	3	2	3	0.8992896654170072			5.161924741642482
127	1._Amateurliga_Hessen_1962/63	1._Amateurliga_Hessen_1963/64	0.9236539006233216	0.0	0.0	1	2	4	2	2	5	0.9021712964186116			7.018222732008108
128	1._Amateurliga_Hessen_1963/64	1._Amateurliga_Hessen_1962/63	0.9236539006233216	0.0	0.0	1	2	2	4	5	2	0.9021712964186116			5.161924741642482
129	1._Amateurliga_Hessen_1963/64	1._Amateurliga_Hessen_1964/65	0.9448946118354796	0.0	0.0	1	2	2	2	5	2	0.9510856482093056			7.532168483110342
130	1._Amateurliga_Hessen_1964/65	1._Amateurliga_Hessen_1963/64	0.9448946118354796	0.0	0.0	1	2	2	2	2	5	0.9510856482093056			6.078215473516637
131	1._Amateurliga_Hessen_1964/65	Hessenliga_1965/66	0.948889970779419	0.0	0.0	0	2	2	0	2	2	0.0			7.541470875772656
132	1._Amateurliga_Nordbaden_1950/51	1._Amateurliga_Nordbaden_1951/52	0.9749149680137634	-1.0		3	2	6	5	3	6	0.9477041316871034			5.950382102006752
133	1._Amateurliga_Nordbaden_1950/51	Landesliga_Nordbaden_1949/50	0.904656946659088	-1.0	0.0	0	0	6	1	3	3	0.0			5.3442462984364365
134	1._Amateurliga_Nordbaden_1951/52	1._Amateurliga_Nordbaden_1952/53	0.9680927395820618	-1.0		1	1	5	5	6	3	0.8785727541177556			5.994833864577585
135	1._Amateurliga_Nordbaden_1952/53	1._Amateurliga_Nordbaden_1953/54	0.9528117775917052	-1.0		1	1	5	2	3	3	0.8864243923339831			5.257234921446806
136	1._Amateurliga_Nordbaden_1953/54	1._Amateurliga_Nordbaden_1952/53	0.9528117775917052	-1.0		1	1	2	5	3	3	0.8864243923339831			5.161924741642482
137	1._Amateurliga_Nordbaden_1953/54	1._Amateurliga_Nordbaden_1954/55	0.9655776023864746	-1.0		2	1	2	3	3	4	0.9713869384553612			5.855071922202427
138	1._Amateurliga_Nordbaden_1954/55	1._Amateurliga_Nordbaden_1953/54	0.9655776023864746	-1.0		2	1	3	2	4	3	0.9713869384553612			5.3442462984364365
139	1._Amateurliga_Nordbaden_1954/55	1._Amateurliga_Nordbaden_1955/56	0.9354874491691588	-1.0		2	1	3	3	4	2	0.970544115416934			5.257234921446806
140	1._Amateurliga_Nordbaden_1955/56	1._Amateurliga_Nordbaden_1954/55	0.9354874491691588	-1.0		2	1	3	3	2	4	0.970544115416934			5.257234921446806
141	1._Amateurliga_Nordbaden_1955/56	1._Amateurliga_Nordbaden_1956/57	0.9222248792648317	-1.0		2	1	3	4	2	5	0.9496448327085036			5.161924741642482
142	1._Amateurliga_Nordbaden_1956/57	1._Amateurliga_Nordbaden_1955/56	0.9222248792648317	-1.0		2	1	4	3	5	2	0.9496448327085036			5.257234921446806
143	1._Amateurliga_Nordbaden_1956/57	1._Amateurliga_Nordbaden_1957/58	0.9470666646957396	-1.0		0	1	4	3	5	2	0.0			5.257234921446806
144	1._Amateurliga_Nordbaden_1957/58	1._Amateurliga_Nordbaden_1956/57	0.9470666646957396	-1.0		0	1	3	4	2	5	0.0			5.257234921446806
145	1._Amateurliga_Nordbaden_1958/59	1._Amateurliga_Nordbaden_1959/60	0.9390962719917296	-1.0		1	1	1	4	2	3	0.906733373020994			5.994833864577585
146	1._Amateurliga_Nordbaden_1959/60	1._Amateurliga_Nordbaden_1960/61	0.9523082375526428	-1.0		0	1	4	2	3	4	0.0			6.22663547863491
147	1._Amateurliga_Nordbaden_1960/61	1._Amateurliga_Nordbaden_1961/62	0.9676319360733032	-1.0		0	1	2	2	4	2	0.0			6.41468771013785
148	1._Amateurliga_Nordbaden_1961/62	1._Amateurliga_Nordbaden_1962/63	0.9636224508285522	-1.0		0	1	2	2	2	1	0.0			5.3442462984364365
149	1._Amateurliga_Nordbaden_1962/63	1._Amateurliga_Nordbaden_1963/64	0.9286272525787354	-1.0		0	1	2	2	1	2	0.0			5.257234921446806
150	1._Amateurliga_Nordbaden_1963/64	1._Amateurliga_Nordbaden_1964/65	0.9374089241027832	-1.0		0	1	2	5	2	3	0.0			6.810583367229864
151	1._Amateurliga_Nordbaden_1964/65	1._Amateurliga_Nordbaden_1963/64	0.9374089241027832	-1.0		0	1	5	2	3	2	0.0			5.257234921446806
152	1._Amateurliga_Nordbaden_1964/65	1._Amateurliga_Nordbaden_1965/66	0.9432295560836792	-1.0		3	1	5	7	3	2	0.9360739269071064			6.572911715352744
153	1._Amateurliga_Nordbaden_1965/66	1._Amateurliga_Nordbaden_1964/65	0.9432295560836792	-1.0		3	1	7	5	2	3	0.9360739269071064			5.498396978263695
154	1._Amateurliga_Nordbaden_1965/66	1._Amateurliga_Nordbaden_1966/67	0.8945862054824829	-1.0		0	1	7	5	2	3	0.0			6.355847210114916
155	1._Amateurliga_Nordbaden_1966/67	1._Amateurliga_Nordbaden_1965/66	0.8945862054824829	-1.0		0	1	5	7	3	2	0.0			5.3442462984364365
156	1._Amateurliga_Nordbaden_1966/67	1._Amateurliga_Nordbaden_1967/68	0.9415128231048584	-1.0		0	1	5	3	3	2	0.0			6.751159946759063
157	1._Amateurliga_Nordbaden_1967/68	1._Amateurliga_Nordbaden_1966/67	0.9415128231048584	-1.0		0	1	3	5	2	3	0.0			5.257234921446806
158	1._Amateurliga_Nordbaden_1967/68	1._Amateurliga_Nordbaden_1968/69	0.94528728723526	-1.0		0	1	3	3	2	2	0.0			6.078215473516637
159	1._Amateurliga_Nordbaden_1968/69	1._Amateurliga_Nordbaden_1967/68	0.94528728723526	-1.0		0	1	3	3	2	2	0.0			5.3442462984364365
160	1._Amateurliga_Nordbaden_1968/69	1._Amateurliga_Nordbaden_1969/70	0.954060971736908	-1.0		0	1	3	3	2	4	0.0			6.953684210870537
161	1._Amateurliga_Nordbaden_1969/70	1._Amateurliga_Nordbaden_1970/71	0.9683403968811036	-1.0		0	2	3	4	4	5	0.0			6.84832369521271
162	1._Amateurliga_Nordbaden_1970/71	1._Amateurliga_Nordbaden_1969/70	0.9683403968811036	-1.0		0	2	4	3	5	4	0.0			5.161924741642482
163	1._Amateurliga_Nordbaden_1970/71	1._Amateurliga_Nordbaden_1971/72	0.9346750974655152	-1.0		1	2	4	3	5	4	0.8992896654170072			7.522778742760503
164	1._Amateurliga_Nordbaden_1971/72	1._Amateurliga_Nordbaden_1972/73	0.9303463697433472	-1.0		0	1	3	2	4	5	0.0			6.919782659194856
165	1._Amateurliga_Nordbaden_1972/73	1._Amateurliga_Nordbaden_1971/72	0.9303463697433472	-1.0		0	1	2	3	5	4	0.0			5.257234921446806
166	1._Amateurliga_Nordbaden_1972/73	1._Amateurliga_Nordbaden_1973/74	0.9456289410591124	-1.0		1	1	2	3	5	3	0.9224725866646668			7.176827762184747
167	1._Amateurliga_Nordbaden_1973/74	1._Amateurliga_Nordbaden_1972/73	0.9456289410591124	-1.0		1	1	3	2	3	5	0.9224725866646668			5.567389849750646
168	1._Amateurliga_Nordbaden_1973/74	1._Amateurliga_Nordbaden_1974/75	0.9696763753890992	-1.0		0	1	3	5	3	5	0.0			7.391939141801692
169	1._Amateurliga_Nordbaden_1974/75	1._Amateurliga_Nordbaden_1973/74	0.9696763753890992	-1.0		0	1	5	3	5	3	0.0			5.3442462984364365
170	1._Amateurliga_Nordbaden_1974/75	1._Amateurliga_Nordbaden_1975/76	0.9724711775779724	-1.0		0	2	5	1	5	5	0.0			7.278180256445034
171	1._Amateurliga_Nordbaden_1975/76	1._Amateurliga_Nordbaden_1974/75	0.9724711775779724	-1.0		0	2	1	5	5	5	0.0			6.037393478996382
172	1._Amateurliga_Nordbaden_1975/76	1._Amateurliga_Nordbaden_1976/77	0.9582228660583496	-1.0		0	2	1	2	5	3	0.0			7.391939141801692
173	1._Amateurliga_Nordbaden_1976/77	1._Amateurliga_Nordbaden_1975/76	0.9582228660583496	-1.0		0	2	2	1	3	5	0.0			5.3442462984364365
174	1._Amateurliga_Nordbaden_1976/77	Fußball-Badenliga_1977/78	0.9376938343048096	-1.0		0	1	2	3	3	4	0.0			7.849772235427173
175	1._Amateurliga_Nordwürttemberg_1963/64	1._Amateurliga_Nordwürttemberg_1964/65	0.9701451063156128	-1.0		1	1	2	2	4	3	0.9510856482093056			5.257234921446806
